idProd,nameProd,subCat,PCategory,SectionProduc,General
A170048049023010,COCINETA BARI 4Q C/T EC ECOLINE BEIGE,A GAS,COCINAS & COCINETAS,GAMA  BLANCA,ELECTRO
A171048049023010,COCINETA BARI 4Q C/T EC ECOLINE BLANCO,A GAS,COCINAS & COCINETAS,GAMA  BLANCA,ELECTRO
A172048049023010,COCINETA BARI 4Q C/T EC ECOLINE VERDE,A GAS,COCINAS & COCINETAS,GAMA  BLANCA,ELECTRO
A173048049023010,COCINETA FLORENCIA II 4Q C/T VID INOX PLUS EC ECOLINE NEGRO,A GAS,COCINAS & COCINETAS,GAMA  BLANCA,ELECTRO
A178058029133010,LICUADORA SAMURAI OPTIMIX PLUS  550W 2V,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A172059029033010,BATIDORA OSTER 6 VEL 250W MANGO ERGONOMICO,BATIDORA DE MANO,COCINA,PEQUEÑO  APARATO,ELECTRO
A173059029053010,CAFETERA OSTER 900W 12TZ NEGRO C/FILTRO,CAFETERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A174059029123010,HORNO OSTER 42LT CON FREIDORA 1700W. GRIS 2P,HORNOS TOSTADORES,COCINA,PEQUEÑO  APARATO,ELECTRO
A176059029133010,LICUADORA OSTER 700W 1.25L 3VL CROMADO-ROJO,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A177059029143010,MULTI-OLLA OSTER 1000W 5.7L 7MEDIDAS SEG,OLLA ARROCERA,COCINA,PEQUEÑO  APARATO,ELECTRO
A178059029143010,OLLA ARROCERA MULTI-FUNCION OSTER 900W 12TZ,OLLA ARROCERA,COCINA,PEQUEÑO  APARATO,ELECTRO
A179059029143010,OLLA ARROCERA MULTI-USO OSTER 700W 10T SOFRITO,OLLA ARROCERA,COCINA,PEQUEÑO  APARATO,ELECTRO
A170050020144010,OLLA-MULTI OSTER BIOCERAMICA 1200W/14 EN 1/7.5LT,OLLA ARROCERA,COCINA,PEQUEÑO  APARATO,ELECTRO
A171050020174010,PARRILLA OSTER ELECTRICA ASAS FRIA TACTO,PARRILLA ELECTRICA,COCINA,PEQUEÑO  APARATO,ELECTRO
A172050020194010,SANDUCHERA OSTER 2PA/4BOC REMOV 700W NEGRA,SANDUCHERAS Y WAFLERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A172041070054010,CONGELADOR NO FROST TWIN FRIGIDAIRE PROFESIONAL INVERTER 527LITROS SILVER,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A173041070054010,REFRIGERADOR NO FROST TWIN FRIGIDAIRE PROFESIONAL INVERTER 535LITROS SILVER,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A174041070054010,TRIM KIT PARA REFRIGERADORA ELECTROLUX TWIN FRIGIDAIRE PROFESIONAL,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A174054020124010,TOSTA HORNO INOXIDABLE. 10 LTS SANKEY,HORNOS TOSTADORES,COCINA,PEQUEÑO  APARATO,ELECTRO
A175044060024010,CONGELADOR HORIZONTAL SANKEY DE 7 PIES 198 LITROS,HORIZONTAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A176044070034010,REFRIGERADORA SANKEY DE 206 LT  7.27 3 PIES COLOR PLATEADO,REFRIGERADORA 200 A 299 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A177054020154010,FREIDORA DE AIRE SANKEY DE 5.5 LITROS,OLLA FREIDORA,COCINA,PEQUEÑO  APARATO,ELECTRO
A178054020124010,HORNO ROSTIZADOR SANKEY DE 30 LT,HORNOS TOSTADORES,COCINA,PEQUEÑO  APARATO,ELECTRO
A179054020124010,HORNO ROSTIZADOR SANKEY DE 42 LT,HORNOS TOSTADORES,COCINA,PEQUEÑO  APARATO,ELECTRO
A170055020064010,FILTRO PURIFICADOR DE AGUA PANASONIC. 4.5 LTS X MINUTO.,DISPENSADOR DE AGUA - MESA,COCINA,PEQUEÑO  APARATO,ELECTRO
A171055020064010,FILTRO DE AGUA PARA GRIFO PANASONIC. 2 LT X MINUTO,DISPENSADOR DE AGUA - MESA,COCINA,PEQUEÑO  APARATO,ELECTRO
A173055020154010,FREIDORA DE AIRE DE 3.8 LITROS SANKEY,OLLA FREIDORA,COCINA,PEQUEÑO  APARATO,ELECTRO
A179045070044010,REFRIGERADOR SAMSUNG BESPOKE BLANCO 385 LT RR39A740512,REFRIGERADORA 300 A 399 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A170046070044010,REFRIGERADOR SAMSUNG BESPOKE AZUL 315 LT RZ32A744541,REFRIGERADORA 300 A 399 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A179058020154010,FREIDORA DE AIRE FLAVOR MASTER 3.5L ROSE GOLD,OLLA FREIDORA,COCINA,PEQUEÑO  APARATO,ELECTRO
A170059020054010,HERVIDORA DE AGUA UMCO 1.8 LT,CAFETERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A171049070054010,REFRIGERADORA LG LS66SXNC/DOOR IN DOOR/ 612LTS,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A172049050024010,CAMPANA EXTRACTORA DE OLORES INDURAMA OCULTA CEI-90NMO,CAMPANAS,EMPOTRABLES,GAMA  BLANCA,ELECTRO
A178049070044010,REFRIGERADOR SAMSUNG BESPOKE ROSA RZ3247445P0,REFRIGERADORA 300 A 399 LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A171050021154010,FREIDORA  EXPERIENCE  3.2L NEGRO  ELECTROLUX,OLLA FREIDORA,COCINA,PEQUEÑO  APARATO,ELECTRO
A177040081034010,LAVADORA WHIRLPOOL CARGA SUPERIOR 15KG NEGRO,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A179040041024010,COCINA A GAS WHIRLPOOL LWFR3320D QUEMADORES XPERT FLAMMA,A GAS,COCINAS & COCINETAS,GAMA  BLANCA,ELECTRO
A170041061024010,CONGELADOR WHIRLPOOL HORIZONTAL 11 PIES 3 DUAL COOLING BLANCO,HORIZONTAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A171041071054010,REFRIGERADOR WHIRLPOOL TOP MOUNT WRM56BKTWW 462 LT,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A172041081034010,LAVADORA WHIRLPOOL CARGA SUPERIOR 19KG NEGRO,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A173041081034010,LAVADORA WHIRLPOOL CARGA SUPERIOR 19KG BLANCA,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A174041061024010,CONGELADOR WHIRLPOOL HORIZONTAL 7 PIES CUBICOS BLANCO,HORIZONTAL,CONGELADORES,GAMA  BLANCA,ELECTRO
A175051021154010,FREIDORA DE AIRE GOURMET KITCHEN 6.5 LT,OLLA FREIDORA,COCINA,PEQUEÑO  APARATO,ELECTRO
A176051021154010,FREIDORA DE AIRE GOURMET KITCHEN 4.5LT NEGRA,OLLA FREIDORA,COCINA,PEQUEÑO  APARATO,ELECTRO
A177041081034010,LAVADORA ELECTROLUX 18KG BLACK,AUTOMATICA 31 LBS EN ADELANTE,LAVADORAS,GAMA  BLANCA,ELECTRO
A178051021054010,HERVIDOR ELECTRICO ELECTROLUX 1.8 LT,CAFETERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A170042041024010,COCINA ELECTROLUX DOBLE HORNO 5Q,A GAS,COCINAS & COCINETAS,GAMA  BLANCA,ELECTRO
A172042071054010,REFRIGERADORA SAMSUNG FRENCH DOOR 28,REFRIGERADORA 400 A MAS LITROS,REFRIGERADORES & NEVERAS,GAMA  BLANCA,ELECTRO
A173052021054010,HERVIDORA DE AGUA LUMY 1.8 L ECO,CAFETERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A174052021194010,SANDUCHERA UMCO MULTIFUNCION 2 PANES NEGRA,SANDUCHERAS Y WAFLERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A179052021124010,FREIDORA DE AIRE ELECTRICA FLAVOR MASTER 25 LTS TIPO HORNO,HORNOS TOSTADORES,COCINA,PEQUEÑO  APARATO,ELECTRO
A170053021144010,OLLA ARROCERA MULTI-FUNCION OSTER 900W 12T/SOFR,OLLA ARROCERA,COCINA,PEQUEÑO  APARATO,ELECTRO
A171053021054010,HERVIDOR ELEC 1.7L PRIMA 1500W/ACERO INX,CAFETERAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A174054021134010,LICUADORA 1.5L INOX Y85G JARRA DE VIDRIO WARENHAUS,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
A175054021134010,LICUADORA 1.5LT BLANCA 2876G JARRA DE VIDRIO WARENHAUS,LICUADORAS,COCINA,PEQUEÑO  APARATO,ELECTRO
