id,name,type,status,commerce,size,latitude,longitude,region,city,state
1691,SALINAS - PLAZA MUEY,TIENDA,1,PYCCA,881.44,-2.2265124,-80.9211195,PROV. COSTA,SALINAS,SANTA ELENA
1692,LOJA - PLAZA DEL VALLE(OLD),TIENDA,0,PYCCA,0,-2.905942,-79.0050023,PROV. SIERRA,LOJA,LOJA
1693,POLIP. LOJA - PLAZA DEL VALLE,TIENDA,1,POLIPAPEL,101.36,-3.980843501,-79.20241639,PROV. SIERRA,LOJA,LOJA
1694,PC BY PS - EL RECREO,TIENDA,1,PET STATION,19.78,-0.252059,-78.523369,QUITO,QUITO,PICHINCHA
1695,P.S. QUICENTRO SUR,TIENDA,1,PET STATION,241.28,-0.2860833,-78.5425833,QUITO,QUITO,PICHINCHA
1697,RIOBAMBA - P. SHOPPING,TIENDA,1,PYCCA,1388.71,-1.653264,-78.646513,PROV. SIERRA,RIOBAMBA,CHIMBORAZO
1699,LOGISTICA INVERSA,BODEGA,1,,0,,,,GUAYAQUIL,GUAYAS
1700,POLIP. EL BOSQUE UIO,TIENDA,1,POLIPAPEL,79.92,-0.161853957,-78.49750565,QUITO,QUITO,PICHINCHA
1704,BODEGAZO CD,TIENDA,0,PYCCA,0,-2.163622119596148," -79.92550675207677",GUAYAQUIL,GUAYAQUIL,GUAYAS
1705,P.S. MACHALA - GRAN PIAZZA,TIENDA,1,PET STATION,192.5,-1.0435257,-79.4811224,PROV. COSTA,MACHALA,EL ORO
1706,MACHALA - GRAN PIAZZA,TIENDA,1,PYCCA,1394.16,-3.2717145,-79.9412951,PROV. COSTA,MACHALA,EL ORO
1707,POLIP. MACHALA- GRAN PIAZZA,TIENDA,1,POLIPAPEL,78.33,-3.28020263778552,-79.932149090115,PROV. COSTA,MACHALA,EL ORO
1708,P.S. PORTAL SHOPPING,TIENDA,1,PET STATION,141.37,-0.1086272,-78.4572094,QUITO,QUITO,PICHINCHA
1711,BODEGA PET STATION - ALMAX,BODEGA,1,,0,-2.040188,-79.8481098,,GUAYAQUIL,GUAYAS
1712,POLIP. HIPER - VIA LA COSTA,TIENDA,1,POLIPAPEL,82.37,-2.184586,-79.967665,GUAYAQUIL,GUAYAQUIL,GUAYAS
1713,POLIP. PORTAL SHOPPING,TIENDA,1,POLIPAPEL,146.12,-0.1989303,-78.4368521,QUITO,QUITO,PICHINCHA
1714,PC BY PS - MALL DEL SOL,TIENDA,1,PET STATION,23.26,-2.1558591,-79.8937752,GUAYAQUIL,GUAYAQUIL,GUAYAS
1715,P.S. V COSTA KM 20,TIENDA,1,PET STATION,209.78,-2.1977501,-80.0615453,GUAYAQUIL,GUAYAQUIL,GUAYAS
1716,P.S. ANIMALOPOLIS C. CELESTE,BODEGA,1,,0,,,,,
1717,P.S. ANIMALOPOLIS URDESA,BODEGA,1,,0,,,,,
